Wall time,Step,Value
1498625277.8566914,27951,1.0047111511230469
1498625286.6830528,27969,1.0625011920928955
1498625440.0259006,28252,1.0480231046676636
1498625452.6091287,28278,1.008286714553833
1498625474.1504745,28322,0.9888576865196228
1498625531.6131797,28439,1.061363935470581
1498625538.0665421,28452,1.0785565376281738
1498625583.0193584,28544,1.082561731338501
1498625597.1186965,28573,1.0213227272033691
1498625616.09138,28612,1.030454158782959
1498625789.9683292,28971,1.0243734121322632
1498625802.6505725,28997,1.0401630401611328
1498625813.353453,29019,1.0623271465301514
1498625822.4892244,29038,1.0125839710235596
1498625834.5403688,29063,1.0499749183654785
1498625842.2745368,29079,0.9755467176437378
1498625848.087796,29091,1.0596270561218262
1498625902.4721632,29202,1.0294857025146484
1498625932.882907,29264,1.0129755735397339
1498626034.6418571,29472,1.0391745567321777
1498626038.105556,29479,0.989302396774292
1498626042.5473604,29488,0.9894217252731323
1498626066.922305,29538,0.9977999329566956
1498626068.3646219,29541,1.0339243412017822
1498626078.5622952,29562,1.0176117420196533
1498626093.622665,29593,1.0269967317581177
1498626102.8650305,29612,1.0288276672363281
1498626169.3896956,29748,1.0219870805740356
1498626208.7010934,29829,1.0359842777252197
1498626209.1853447,29830,1.0167856216430664
1498626225.8324285,29864,0.9768099784851074
1498626309.796757,30001,1.3003805875778198
1498626312.1788692,30006,1.0088995695114136
1498626324.6527686,30032,1.0722931623458862
1498626346.7773263,30078,1.0112699270248413
1498626353.9969,30093,0.986975371837616
1498626393.714414,30175,1.0215122699737549
1498626414.5574093,30218,1.053758144378662
1498626427.1097028,30244,1.0516921281814575
1498626447.0257251,30285,1.0671418905258179
1498626468.0874536,30328,1.0220717191696167
1498626533.045107,30460,1.0185654163360596
1498626536.4840362,30467,1.033194661140442
1498626538.4303718,30471,1.0280460119247437
1498626587.9023116,30573,1.0187114477157593
1498626607.3614295,30613,1.0112746953964233
1498626653.248868,30707,1.0455102920532227
1498626660.100159,30721,1.0461894273757935
1498626668.9384806,30739,0.9843491315841675
1498626821.8219736,31053,0.9978723526000977
1498626847.378794,31106,0.9978773593902588
1498626993.4761336,31407,1.0031837224960327
1498627011.4695387,31444,0.9844291806221008
1498627133.9935982,31697,1.1586638689041138
1498627146.5091817,31723,1.0051162242889404
1498627165.8774662,31763,0.9904118776321411
1498627188.081406,31809,1.0629892349243164
1498627219.3105614,31874,1.0080612897872925
1498627222.6650949,31881,1.0101242065429688
1498627226.4989552,31889,1.021793246269226
1498627249.6113017,31937,1.057936429977417
1498627253.9556167,31946,1.0136942863464355
1498627299.241257,32005,0.998227059841156
1498627305.4856246,32018,0.967782735824585
1498627381.219797,32175,1.013420581817627
1498627397.3232293,32208,0.9850274920463562
1498627417.8485804,32250,1.0071196556091309
1498627449.592639,32315,0.9866379499435425
1498627508.5554025,32436,1.0237483978271484
1498627554.741876,32530,0.9816385507583618
1498627561.1157212,32543,1.0006022453308105
1498627594.251644,32612,0.9902234673500061
1498627616.4182508,32658,1.0107157230377197
1498627640.1945736,32707,0.9608962535858154
1498627667.5378456,32763,1.0026178359985352
1498627731.8534558,32895,0.9814873933792114
1498627735.7502074,32903,1.007582664489746
1498627784.8689234,33003,0.9815890192985535
1498627790.7292197,33015,1.0383275747299194
1498627800.5411775,33035,1.0341694355010986
